label,title,content
1,Good but litle expensive,It is very good but it is becoming little expoensive at amazon as compared to other brands available at stores like costco.
1,I think you're missing the point.,"I think a couple of people are missing the point... The reason this is out is (I heard) they didn't have the cash to finish AV Vol 2, so this would generate some cash AND be of interest to their core fans. Plus, the demos ~are~ a good insight to their creative process.... I ~love~ to see the rough drafts... If you're just waiting for Vol 2, why did you buy this in the first place?"
1,Looking forward to reading other books by this author,This book was so fascinating that I could not take a break from reading it. I look forward to reading Dr. Han's books The Secret Life of Quanta and The Probably Universe.
1,Too firm for me,"I bought this for a lot more money at the Relax The Back store. Amazon has a much better price. I like the design of it but it has some flaws. The pillow case is hard to get onto the pillow and stretches taught right where I'd like to rest my head making it a bit uncomfortable. Also the lower ""legs"" of the product are much too firm to have between my knees. It raises my leg up too high and hurts my hip. I'm 5'7"" so this isn't a problem of being too petite. A flat spot has formed within a few days where I have to lift it open to get in and out of bed. I still like it and haven't found anything comparable."
0,The angel slipped,This is a light weight film with a heavy weight star. The film is not worthy of the great Paul Muni.
1,Michael J Fox shines....,"This is Michael J Fox's at his best. The movie is very good. I can watch this one over and over. Good cast, except Sean Penn overacts his character. Definitely worth viewing."
1,good but not perfect,"It is very good for kid more than 1 month . Only one thing i want to say when my baby used it at 1 month ,she grew some rash, but not very serious . So i appreciate pamper all the same . Thanks for supplying quality goods to us."
0,Digital Copy expired,Annoying when you buy a movie mostly because of the digital copy and it has expired months before.This is a major DISAPPOINTMENT!!
0,Not a 'SPORTS' walkman,This product is not typical of Sony quality. I can't believe that Sony can sell this product with a straight face. The problem is when you drop this walkman while running or excercising the batteries fly out and you lose all your preset stations. The clasp that holds the batteries in the radio is flimsy and not designed to sustain an average drop. The old Sony design use to have a heavy duty screw that locked the batteries in the walkman and you can drop it all day long without your batteries flying all over the place and losing your preset stations.Why did Sony re-design something that was already great ? There are many better Sports Walkmans out there. Don't buy this one.
0,Writer and director witoout souls,I cannot imagine a writer and director so soulless that they could read The Haunting of Hill House and come up with this drek. De Bont should go back to directing thrillers like Speed and Self should stick to comic books.
1,Fantastic!,This story is epic. Asimov shines in The Foundation. Makes you want to read the whole series. (something Im in the process of doing now. ;)
0,"Run Away, Run","Although ""Run, Lola, Run"" is off-beat, has some nice camera work and a few impressive images, I could not develop any interest in any of the characters. Lola's extreme red hair and goofy outfit (blue tank top, white bra straps, turquoise pants, and black Doc Martin boots of all things) were distracting. The ""driving music beat"" (or however it was described), was fairly boring and repetitive.The commentary was only slightly more interesting than the movie. The two participants of writer/director Tom and lead actress Franka were a couple at the time, which accounts for the mutual admiration society feel of the commentary.There may have been a good idea for a movie here, but I could not find it. Close to being the least watchable movie (""Lost and Delirious"", ""The Smokers"", ""Black and White"" and ""Armageddon""). I nearly dozed off both times.I give the movie two stars for effort and concept, but I advise you to...""Run Away, Run"""
0,Not worthy,"I'll admit it: I'm a Spongebob junkie. I've seen almost all of the episodes, multiple times. I saw this movie when it came out in theatres with a fellow Spongebob freak. Gosh, we were like 15 and we did not even care.That being said, I did not care for this movie. The writers make great 12-minute episodes, but apparently nothing good comes from trying to make longer plots. It also has some disturbing parts for younger kids, so I don't even let my niece watch it when it comes on TV. She's a big fan of the episodes as well.All in all, stick with the original shows."
1,Loved it!,"Brought back so many wonderful memories of Christmas past!! Wonderful music and singing, top notch! Children love this, and so do grown-ups!! ""This is my box, this is my box, I never travel without my box."" :)"
0,"Paris, Wyoming","First off, my copy, Hudson House Publishers is a subsidy and self-publishing company. In old terminology, ""Vantage Press"" publishing. James paid to publish his novel. PARIS, WYOMING came as a gift as I generally do not purchase subsidy or self-published books or novels. Most do not exert ""tight"" editing and consist of numerous passive voice verbs and common writing errors. Secondly, I will finish this novel as my ""thank you"" to the one giving this gift. To complete reading PARIS, WYOMING, Wyoming will take forever. Lastly, whatever is the ""Wyoming Writers, Inc. 'New Horizons Award'"" as Jim James is a recipient?"
0,Simply awful,"I know its very hard to bring a book like Moby-Dick to the screen, but at least John Houston tried in the 1950's. This made-for-TV adaptation makes me wonder if the screenwriters and director even read the original book. Not only is the character of Queegueg depicted incorrectly as a Mauri of New Zealand (in reality Melville based the character on the Nuku-Hivans), but he is treated as a buffoonish and stereotypical ""savage"" which is completely at odds with the dignified character that Melville created. Additionally, the filmmakers dreamt up a bizarre scene where the Pequod is stranded in the ice of the Antarctic! They must have been reading Mary Shelly's Frankenstien at the time. Patrick Stewart's performance as Ahab however, is wonderful, but that's the only redeeming feature of this overblown mess."
0,Worst toy ever,"Let me count the ways that this is a horrible toy:If you put an egg in the carton wrong end down it can get VERY stuck and what kid knows to put the skinny end down?The case is flimsy plastic.The carton says 18 months+ but it is a choking hazard for kids under 3...hmmm.The ""quote"" on the side is supposedly by a 2 year old - ""With the Egg-Shape Sorter learning my shapes was over easy!"" - what 2 year old says that!!"
0,The cream does not relieve the itch,"You guys are supposed to be reviewing the cream here, not the spray. And as far as I can tell, this cream does NOT relieve the itch at all! Totally ineffective, and I can't really even tell that there's any menthol in it."
