text,label
"Great spot in downtown Mesa. Every time I come here I have ordered something different. I've gotten Pad Thai, Curry Chicken and this time I got Thai Fried Rice. My girlfriend got Pad See Ew so we were able to mix it up and share everything. This last visit earned it an extra star. \n\nService has been inconsistent. I've had really fast service, and really slow service. This time was really fast. The food tasted the best ever too! We also asked to make the food very spicy and they listed. We did have to reassure them a few times that we can handle it. I guess they have a lot of people who want spicy but can't handle it. \n\nThis place has a great ambiance to it, I can see it being pretty romantic at night but I've only eaten here for lunch.  \n\nIn addition... I always get a small egg roll and some soup with every meal which is very tasty.",1
"I have given this place several chances, each time hoping it will be better than the last. The food is good, no complaints there, yummy carb-ful comfort food and okay salads. \n\nProblem is the service, or lack thereof I should say. On my first visit I sat on the patio for a full 20 minutes with no service, not even a greeting. I finally asked one of the servers who was cleaning off a table a few feet from me if I could order something to drink and have a menu. The second and third visits were pretty much the same, I didn't have to ask to be served but took them a long time to finally come to my table.\n\nMy last visit, just last week, I sat at a table on the patio and was never greeted or served, after 30 min I left.\n\nToo bad, this place has great potential as a neighborhood hangout but after talking to others, it is well known that the service is poor.",0
"Wish there was a 0 star option. My mother in law got a manicure and gel polish...the tech that did her nails left gel polish on her skin and didn't try to take it off when she mentioned it to him. I got a pedicure and it was not relaxing at all. My nails weren't filed evenly, and there was polish all over my skin. When the tech was done painting my nails she immediately put my sandals on and told me to go pay. I asked her if they were dry enough and she said \""""probably not.\"""" I wish I would have saved myself the $25 and gone somewhere else.",0
"While looking for a lunch place in Mesa on Yelp, I came across Dooby's.  So I met my wife there.  They could have used someone with an eye for design, as the decor could be classified as thrift-store-restaurant-chic.\n\nWe started out with a hummus appetizer, which also came with kalamata olives, salted pickles, pepperchinis and shug (which is something new I've never had, a mixture of olive oil, cilantro, garlic and chili flake ground together).  The shug was fabulous!  The hummus was tasty, albeit a little chunky.  I prefer a smoother puree.\n\nMy wife ordered the shwarma/gyro combo, while I went with the shwarma plate with 2 side falafel.  The lunch combos came with an Israeli salad, which never arrived at our table.  Hmmm.\n\nMy wife found the chicken shwarma and gyro meat to be overcooked and dry.  She also though either the chicken or the mayo-based garlic sauce drizzled over it tasted funny.\n\nI got used to the garlic sauce after a couple of bites, and cleaned my plate.  The falafel looked almost like little muffins, and were pretty good.\n\nWe ordered the baklava.  How to describe it in one word?  Dry.  They must have found this bad boy in the Gobi Desert.  Baklava is supposed to be moist with a honey simple syrup, which they must have been short of.\n\nI had to temper my first reaction, which was to call out the kitchen staff and have each of them take a bite while berating them, a-la Gordon Ramsey.  I love that Hell's Kitchen.\n\nThe owner visited our table, and was very welcoming, very friendly.  However, I just cannot recommend this establishment with so many other great Mediterranean restaurants out there, such as Phoenicia Grill and Haji-Baba.",0
"The Super Burrito and Taco Salad were amazing. It's a nice small restaurant with a walk up counter. Even if you don't live in the neighborhood, it's worth the drive.",1
"This is where I fell in love with carne asada burrtios!\n\nWhen I moved from Chicago to Phoenix, I had no idea what Mexican food could be.  This was the first place I had tried because it was within walking distance to home & school.  I must have eaten here twice a day for an entire semester.  Today it's more of an after-the-bar treat.  This is the benchmark for all burritos.   You may feel the need to high five someone after eating one.\nI can only relate in analogy. It is Garfield's lasagna, Bert's oatmeal, Laestragonian's Acheans, Olympian Ambrosia, and Elvis's peanut butter and banana freakin' sandwiches all wrapped into a burrito.",1
"This place is fucking annoying. \n\nFirst of all, it's not on Priest. It's on Ray. So after I drove back and forth across the intersection three times, on a hunch I turned on Ray and shazaam, there it was. \n\nSecond: There is a sleazy jerk who came at me with the \""""excuse me, MISS, excuse me, MA'AM\"""" line that sent my bullshit detector into the red zone. He proceeded to tell me that the chip in my glass isn't \""""that bad right NOW\"""" but they can go ahead and contact my insurance company on my behalf to get it taken care of. Newsflash, fuckstick, there are no chips in my glass. Six pieces of glass on the car plus mirrors - no chips! Imagine that! \n\nThird: I got the air filter upsell. The air filter is 4 months old. \n\nOne star goes to good vacuuming up the dog hair.",0
"On any given day, the breakfast dishes at Marigold range from phenomenal to un-freaking-believably-good. \n\nOn any given day, the service system at Marigold ranges from mildly inconvenient to mind-blowingly frustrating. \n\nThere are enough reviews here that sing the praises of Marigold's food. I wholeheartedly agree with them all - so instead I'm going to try and offer some suggestions that can help you navigate the conundrum that is Marigold's seating situation. As noted per other reviews, you stand in line to order at the counter - then wait in the little waiting area - then an employee leads you to a table. At least, that's how it's supposed to work. \n\nOn my most recent visit, however, people were grabbing tables while they were still in line. These folks probably didn't see the teeny tiny sign outside the restaurant that lays out the table etiquette - most likely due to the fact that the sign is indeed, teeny tiny. When this happens, Marigold employees have to decide whether to 1) ask these people to get up, which is awkward or 2) let them sit there, which screws over people waiting patiently after ordering at the counter. \n\nI think Marigold could do a better job of communicating the seating policy  -either by having a full-time host at the front of the restaurant or posting more signage. Probably both. \n\nUntil they change the policy though - I would not suggest dining at Marigold with a large group unless you arrive very early or late in the dining cycle. I would not suggest eating at Marigold if you want to sit and chat for an hour or two over food (you will feel awkward with people staring at you while waiting for your table). \n\nWhat I will suggest is going to Marigold with a small group, 2-4 people, and following the seating etiquette. The employees will find you a spot - and if others are snagging tables before they're supposed to - give them the stink eye or say \""""screw it\"""" and grab a table yourself. \n\nThe experience is less frustrating if you know what to expect - and the food at Marigold really is worth it.",1
"My husband and I stayed here for two nights and almost left during the night on our second night stay. The beds were absolutely atrocious and very outdated! I mean c'mon... they had a piece of plywood as support for the lumpy outdated mattress?! The room service was VERY expensive and for what you paid for you got very little of. The pools were pretty bad too, my husband noticed empty water bottles (trash) floating on top of the water. The only positive to our stay is that they don't charge for pets to stay there. Of course we were put in a funky smelling room due to it being a pets room but I think that comes with the territory when you travel with your pet.",0
Overpriced: Not only the food itself but also the medical bill and the gym personal trainer bill you have to pay afterward.,0
