Model,Dataset,Accuracy,F1 Score
bert-base-uncased,imdb,0.7114,0.7085
bert-base-uncased,yelp,0.8317,0.8082
bert-base-uncased,amazon,0.9279,0.9331
distilbert-base-uncased,imdb,0.8517,0.8398
distilbert-base-uncased,yelp,0.9078,0.9038
distilbert-base-uncased,amazon,0.9138,0.9205
roberta-base,imdb,0.8898,0.8898
roberta-base,yelp,0.8597,0.8491
roberta-base,amazon,0.9459,0.9488
xlm-roberta-base,imdb,0.6293,0.3554
xlm-roberta-base,yelp,0.8537,0.8430
xlm-roberta-base,amazon,0.5451,0.7056
albert-base-v2,imdb,0.8958,0.8839
albert-base-v2,yelp,0.8798,0.8655
albert-base-v2,amazon,0.9499,0.9533

